speciesA,speciesB
Q.alba,Q.bicolor
Q.alba,Q.macrocrapa
Q.alba,Q.montana
Q.alba,Q.muhlenbergii
Q.alba,Q.prinoides
Q.alba,Q.stellata
Q.arizonica,Q.grisea
Q.bicolor,Q.macrocrapa
Q.catesbei,Q.cuneata
Q.catesbei,Q.incana
Q.catesbei,Q.nigra
Q.coccinea,Q.ilicifolia
Q.coccinea,Q.palustris
Q.coccinea,Q.rubra
Q.cuneata,Q.phellos
Q.cuneata,Q.velutina
Q.douglasii,Q.garryana
Q.dumosa,Q.engelmanni
Q.ellipsoidalis,Q.velutina
Q.emoryi,Q.grisea
Q.emoryi,Q.pungens
Q.georgiana,Q.marilandica
Q.ilicifolia,Q.marilandica
Q.ilicifolia,Q.phellos
Q.ilicifolia,Q.velutina
Q.imbricaria,Q.marilandica
Q.imbricaria,Q.palustris
Q.imbricaria,Q.rubra
Q.imbricaria,Q.velutina
Q.incana,Q.cuneata
Q.incana,Q.laurifolia
Q.incana,Q.marilandica
Q.incana,Q.nigra
Q.incana,Q.velutina
Q.kelloggii,Q.wislizeni
Q.macrocarpa,Q.muhlenbergii
Q.marilandica,Q.nigra
Q.marilandica,Q.phellos
Q.pagoda,Q.phellos
Q.palustris,Q.rubra
Q.phellos,Q.rubra
Q.phellos,Q.velutina
Q.rubra,Q.velutina
Q.agrifolia,Q.kelloggii
Q.alba,Q.lyrata
Q.alba,Q.robur
Q.bicolor,Q.lyrata
Q.bicolor,Q.montana
Q.bicolor,Q.robur
Q.bicolor,Q.stellata
Q.bicolor,Q.virginiana
Q.douglasii,Q.lobata
Q.dumosa,Q.lobata
Q.durandii,Q.lyrata
Q.durandii,Q.stellata
Q.durandii,Q.virginana
Q.ellipsoidalis,Q.rubra
Q.emoryi,Q.hypoleucoides
Q.falcata,Q.imbricaria
Q.falcata,Q.incana
Q.falcata,Q.laevis
Q.falcata,Q.marilandica
Q.falcata,Q.nigra
Q.falcata,Q.phellos
Q.falcata,Q.shumardii
Q.falcata,Q.velutina
Q.georgiana,Q.marilandica
Q.hypoleucoides,Q.shumardii
Q.ilicifolia,Q.rubra
Q.imbricaria,Q.shumardii
Q.incana,Q.laevis
Q.incana,Q.myrtifolia
Q.incana,Q.obtusa
Q.incana,Q.phellos
Q.laevis,Q.laurifolia
Q.laevis,Q.nigra
Q.lyrata,Q.stellata
Q.lyrata,Q.virginiana
Q.macrocarpa,Q.obtusa
Q.macrocarpa,Q.prinus
Q.macrocarpa,Q.stellata
Q.macrocarpa,Q.robur
Q.macrocarpa,Q.undulata
Q.macrocarpa,Q.virginiana
Q.marilandica,Q.rubra
Q.marilandica,Q.shumardii
Q.marilandica,Q.velutina
Q.montana,Q.robur
Q.montana,Q.stellata
Q.nigra,Q.phellos
Q.nigra,Q.shumardii
