speciesA,speciesB,RI,,,
Quercus alba,Quercus bicolor,0,Trelease 1917,morphology,
Quercus alba,Quercus macrocrapa,0,,,
Quercus alba,Quercus montana,0,,,
Quercus alba,Quercus muhlenbergii,0,,,
Quercus alba,Quercus prinoides,0,,,
Quercus alba,Quercus stellata,0,,,
Quercus arizonica,Quercus grisea,0,,,
Quercus bicolor,Quercus macrocrapa,0,,,
Quercus catesbei,Quercus cuneata,0,,,
Quercus catesbei,Quercus incana,0,,,
Quercus catesbei,Quercus nigra,0,,,
Quercus coccinea,Quercus ilicifolia,0,,,
Quercus coccinea,Quercus palustris,0,,,
Quercus coccinea,Quercus rubra,0,,,
Quercus cuneata,Quercus phellos,0,,,
Quercus cuneata,Quercus velutina,0,,,
Quercus douglasii,Quercus garryana,0,,,
Quercus dumosa,Quercus engelmanni,0,,,
Quercus ellipsoidalis,Quercus velutina,0,,,
Quercus emoryi,Quercus grisea,0,,,
Quercus emoryi,Quercus pungens,0,,,
Quercus georgiana,Quercus marilandica,0,,,
Quercus ilicifolia,Quercus marilandica,0,,,
Quercus ilicifolia,Quercus phellos,0,,,
Quercus ilicifolia,Quercus velutina,0,,,
Quercus imbricaria,Quercus marilandica,0,,,
Quercus imbricaria,Quercus palustris,0,,,
Quercus imbricaria,Quercus rubra,0,,,
Quercus imbricaria,Quercus velutina,0,,,
Quercus incana,Quercus cuneata,0,,,
Quercus incana,Quercus laurifolia,0,,,
Quercus incana,Quercus marilandica,0,,,
Quercus incana,Quercus nigra,0,,,
Quercus incana,Quercus velutina,0,,,
Quercus kelloggii,Quercus wislizeni,0,,,
Quercus macrocarpa,Quercus muhlenbergii,0,,,
Quercus marilandica,Quercus nigra,0,,,
Quercus marilandica,Quercus phellos,0,,,
Quercus pagoda,Quercus phellos,0,,,
Quercus palustris,Quercus rubra,0,,,
Quercus phellos,Quercus rubra,0,,,
Quercus phellos,Quercus velutina,0,,,
Quercus rubra,Quercus velutina,0,,,
Quercus agrifolia,Quercus kelloggii,0,Palmer 1948,morphology,
Quercus alba,Quercus lyrata,0,,,
Quercus alba,Quercus robur,0,,,
Quercus bicolor,Quercus lyrata,0,,,
Quercus bicolor,Quercus montana,0,,,
Quercus bicolor,Quercus robur,0,,,
Quercus bicolor,Quercus stellata,0,,,
Quercus bicolor,Quercus virginiana,0,,,
Quercus douglasii,Quercus lobata,0,,,
Quercus dumosa,Quercus lobata,0,,,
Quercus durandii,Quercus lyrata,0,,,
Quercus durandii,Quercus stellata,0,,,
Quercus durandii,Quercus virginana,0,,,
Quercus ellipsoidalis,Quercus rubra,0,,,
Quercus emoryi,Quercus hypoleucoides,0,,,
Quercus falcata,Quercus imbricaria,0,,,
Quercus falcata,Quercus incana,0,,,
Quercus falcata,Quercus laevis,0,,,
Quercus falcata,Quercus marilandica,0,,,
Quercus falcata,Quercus nigra,0,,,
Quercus falcata,Quercus phellos,0,,,
Quercus falcata,Quercus shumardii,0,,,
Quercus falcata,Quercus velutina,0,,,
Quercus georgiana,Quercus marilandica,0,,,
Quercus hypoleucoides,Quercus shumardii,0,,,
Quercus ilicifolia,Quercus rubra,0,,,
Quercus imbricaria,Quercus shumardii,0,,,
Quercus incana,Quercus laevis,0,,,
Quercus incana,Quercus myrtifolia,0,,,
Quercus incana,Quercus obtusa,0,,,
Quercus incana,Quercus phellos,0,,,
Quercus laevis,Quercus laurifolia,0,,,
Quercus laevis,Quercus nigra,0,,,
Quercus lyrata,Quercus stellata,0,,,
Quercus lyrata,Quercus virginiana,0,,,
Quercus macrocarpa,Quercus obtusa,0,,,
Quercus macrocarpa,Quercus prinus,0,,,
