speciesA,speciesB,author,datatype,hybrid,exclude,notes,overlap,records
alba,bicolor,Trelease 1917,morphology,1,,,,
alba,macrocarpa,Trelease 1917,morphology,1,,,,
alba,montana,Trelease 1917,morphology,1,,,,
alba,muhlenbergii,Trelease 1917,morphology,1,,,,
alba,prinoides,Trelease 1917,morphology,1,,,,
alba,stellata,Trelease 1917,morphology,1,,,,
arizonica,grisea,Trelease 1917,morphology,1,,,,
bicolor,macrocarpa,Trelease 1917,morphology,1,,,,
catesbaei,cuneata,Trelease 1917,morphology,1,,,,
catesbaei,incana,Trelease 1917,morphology,1,,,,
catesbaei,nigra,Trelease 1917,morphology,1,,,,
coccinea,ilicifolia,Trelease 1917,morphology,1,,,,
coccinea,palustris,Trelease 1917,morphology,1,,,,
coccinea,rubra,Trelease 1917,morphology,1,,,,
cuneata,phellos,Trelease 1917,morphology,1,,,,
cuneata,velutina,Trelease 1917,morphology,1,,,,
douglasii,garryana,Trelease 1917,morphology,1,,,,
dumosa,engelmannii,Trelease 1917,morphology,1,,,,
ellipsoidalis,velutina,Trelease 1917,morphology,1,,,,
emoryi,grisea,Trelease 1917,morphology,1,1,,,
emoryi,pungens,Trelease 1917,morphology,1,1,,,
georgiana,marilandica,Trelease 1917,morphology,1,,,,
ilicifolia,marilandica,Trelease 1917,morphology,1,,,,
ilicifolia,phellos,Trelease 1917,morphology,1,,,,
ilicifolia,velutina,Trelease 1917,morphology,1,,,,
imbricaria,marilandica,Trelease 1917,morphology,1,,,,
imbricaria,palustris,Trelease 1917,morphology,1,,,,
imbricaria,rubra,Trelease 1917,morphology,1,,,,
imbricaria,velutina,Trelease 1917,morphology,1,,,,
incana,cuneata,Trelease 1917,morphology,1,,,,
incana,laurifolia,Trelease 1917,morphology,1,,,,
incana,marilandica,Trelease 1917,morphology,1,,,,
incana,nigra,Trelease 1917,morphology,1,,,,
incana,velutina,Trelease 1917,morphology,1,,,,
kelloggii,wislizeni,Trelease 1917,morphology,1,,,,
macrocarpa,muhlenbergii,Trelease 1917,morphology,1,,,,
marilandica,nigra,Trelease 1917,morphology,1,,,,
marilandica,phellos,Trelease 1917,morphology,1,,,,
pagoda,phellos,Trelease 1917,morphology,1,,,,
palustris,rubra,Trelease 1917,morphology,1,,,,
phellos,rubra,Trelease 1917,morphology,1,,,,
phellos,velutina,Trelease 1917,morphology,1,,,,
